Customer,CPU_Workload,GPU_Workload,CPU_Model,GPU_Model,CPU_Count,GPU_Count,Cooling,CPU_DVFS,GPU_DVFS,Calc_Time_sec,Max_Power_W,CPU_Temp_C,GPU_Temp_C,CPU_Leak_W,GPU_Leak_W,CPU_Active_Main_W,GPU_Active_Main_W,Bottleneck
Customer A,Compute A,Compute AG,6978P,B200 Water,1,8,Water,F0,F0,0.0400661858974359,6386.877192982456,26.0,34.0,84.00000000000001,1792.0,0.0,510.8771929824561,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,1,8,Water,F0,F1,0.037204464285714285,8102.343859649123,26.0,45.0,84.00000000000001,2940.0000000000005,0.0,1078.343859649123,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,1,8,Water,F0,F2,0.030639338235294116,9557.459649122808,26.0,54.0,84.00000000000001,3763.2000000000003,0.0,1710.2596491228073,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,1,8,Water,F0,F3,0.027414364035087718,12670.666666666666,26.0,70.0,84.00000000000001,5600.0,0.0,2986.6666666666665,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,1,8,Water,F1,F0,0.04006576923076923,6411.043859649123,29.0,34.0,108.16666666666667,1792.0,0.0,510.8771929824561,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,1,8,Water,F1,F1,0.037204047619047616,8126.510526315791,29.0,45.0,108.16666666666667,2940.0000000000005,0.0,1078.343859649123,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,1,8,Water,F1,F2,0.03063892156862745,9581.626315789474,29.0,54.0,108.16666666666667,3763.2000000000003,0.0,1710.2596491228073,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,1,8,Water,F1,F3,0.02741394736842105,12694.833333333334,29.0,70.0,108.16666666666667,5600.0,0.0,2986.6666666666665,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,1,8,Water,F2,F0,0.04006541835357625,6439.377192982456,33.0,34.0,136.5,1792.0,0.0,510.8771929824561,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,1,8,Water,F2,F1,0.037203696741854635,8154.843859649123,33.0,45.0,136.5,2940.0000000000005,0.0,1078.343859649123,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,1,8,Water,F2,F2,0.030638570691434466,9609.959649122808,33.0,54.0,136.5,3763.2000000000003,0.0,1710.2596491228073,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,1,8,Water,F2,F3,0.027413596491228067,12723.166666666666,33.0,70.0,136.5,5600.0,0.0,2986.6666666666665,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,1,8,Water,F3,F0,0.04006529304029305,6470.377192982456,37.0,34.0,167.5,1792.0,0.0,510.8771929824561,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,1,8,Water,F3,F1,0.03720357142857143,8185.843859649123,37.0,45.0,167.5,2940.0000000000005,0.0,1078.343859649123,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,1,8,Water,F3,F2,0.03063844537815126,9640.959649122808,37.0,54.0,167.5,3763.2000000000003,0.0,1710.2596491228073,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,1,8,Water,F3,F3,0.027413471177944862,12754.166666666666,37.0,70.0,167.5,5600.0,0.0,2986.6666666666665,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,1,8,Water,F0,F0,1.1447067002442002,6944.394736842105,25.0,38.0,82.50000000000001,1904.0,0.0,957.8947368421053,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,1,8,Water,F0,F1,1.0629432256235827,9357.994736842105,25.0,53.0,82.50000000000001,3253.6000000000004,0.0,2021.8947368421059,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,1,8,Water,F0,F2,0.875368195611578,14636.436842105264,25.0,86.0,82.50000000000001,7347.200000000001,0.0,3206.7368421052643,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,1,8,Water,F0,F3,0.7832260756056809,15282.5,25.0,70.0,82.50000000000001,5600.0,0.0,5600.000000000001,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,1,8,Water,F1,F0,1.1447030891330892,6964.561403508772,26.0,38.0,102.66666666666667,1904.0,0.0,957.8947368421053,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,1,8,Water,F1,F1,1.0629396145124717,9378.161403508773,26.0,53.0,102.66666666666667,3253.6000000000004,0.0,2021.8947368421059,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,1,8,Water,F1,F2,0.8753645845004668,14656.603508771932,26.0,86.0,102.66666666666667,7347.200000000001,0.0,3206.7368421052643,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,1,8,Water,F1,F3,0.7832224644945698,15302.666666666668,26.0,70.0,102.66666666666667,5600.0,0.0,5600.000000000001,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,1,8,Water,F2,F0,1.1447000481974166,6987.561403508772,28.0,38.0,125.66666666666667,1904.0,0.0,957.8947368421053,GPU-Limited (Main Phase)
