Customer,CPU_Workload,GPU_Workload,CPU_Model,GPU_Model,CPU_Count,GPU_Count,Cooling,CPU_DVFS,GPU_DVFS,Calc_Time_sec,Max_Power_W,CPU_Temp_C,GPU_Temp_C,CPU_Leak_W,GPU_Leak_W,CPU_Active_Main_W,GPU_Active_Main_W,Bottleneck
Customer A,Compute A,Compute AG,6543P-B,B100 Air,2,8,Air,F0,F0,0.057238693598068595,5111.301052631579,23.0,31.0,50.88,732.0,0.0,328.42105263157896,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6543P-B,B100 Air,2,8,Air,F0,F1,0.05315051986703772,5886.50105263158,23.0,38.0,50.88,1142.4,0.0,693.221052631579,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6543P-B,B100 Air,2,8,Air,F0,F2,0.04377176836643748,6590.332631578947,23.0,45.0,50.88,1440.0,0.0,1099.4526315789476,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6543P-B,B100 Air,2,8,Air,F0,F3,0.039164662366142626,8154.88,23.0,61.0,50.88,2184.0,0.0,1919.9999999999998,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6543P-B,B100 Air,2,8,Air,F1,F0,0.05723778044871795,5123.78105263158,24.0,31.0,63.36,732.0,0.0,328.42105263157896,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6543P-B,B100 Air,2,8,Air,F1,F1,0.05314960671768707,5898.98105263158,24.0,38.0,63.36,1142.4,0.0,693.221052631579,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6543P-B,B100 Air,2,8,Air,F1,F2,0.04377085521708683,6602.812631578949,24.0,45.0,63.36,1440.0,0.0,1099.4526315789476,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6543P-B,B100 Air,2,8,Air,F1,F3,0.03916374921679198,8167.360000000001,24.0,61.0,63.36,2184.0,0.0,1919.9999999999998,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6543P-B,B100 Air,2,8,Air,F2,F0,0.057237036401098895,5138.074385964913,26.0,31.0,77.65333333333334,732.0,0.0,328.42105263157896,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6543P-B,B100 Air,2,8,Air,F2,F1,0.05314886267006802,5913.274385964913,26.0,38.0,77.65333333333334,1142.4,0.0,693.221052631579,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6543P-B,B100 Air,2,8,Air,F2,F2,0.04377011116946778,6617.105964912282,26.0,45.0,77.65333333333334,1440.0,0.0,1099.4526315789476,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6543P-B,B100 Air,2,8,Air,F2,F3,0.039163005169172926,8181.653333333334,26.0,61.0,77.65333333333334,2184.0,0.0,1919.9999999999998,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6543P-B,B100 Air,2,8,Air,F3,F0,0.057236775984432234,5153.221052631579,28.0,31.0,92.8,732.0,0.0,328.42105263157896,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6543P-B,B100 Air,2,8,Air,F3,F1,0.05314860225340136,5928.42105263158,28.0,38.0,92.8,1142.4,0.0,693.221052631579,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6543P-B,B100 Air,2,8,Air,F3,F2,0.04376985075280112,6632.252631578947,28.0,45.0,92.8,1440.0,0.0,1099.4526315789476,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6543P-B,B100 Air,2,8,Air,F3,F3,0.039162744752506265,8196.8,28.0,61.0,92.8,2184.0,0.0,1919.9999999999998,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6543P-B,B100 Air,2,8,Air,F0,F0,2.4529239355882213,5192.446315789473,22.0,31.0,49.92,732.0,0.0,410.5263157894737,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6543P-B,B100 Air,2,8,Air,F0,F1,2.2777164899726126,6109.2463157894745,22.0,41.0,49.92,1192.8000000000002,0.0,866.5263157894739,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6543P-B,B100 Air,2,8,Air,F0,F2,1.875769997089745,6941.035789473684,22.0,49.0,49.92,1516.8000000000002,0.0,1374.3157894736846,GPU-Limited (Main Phase)
