Customer,CPU_Workload,GPU_Workload,CPU_Model,GPU_Model,CPU_Count,GPU_Count,Cooling,CPU_DVFS,GPU_DVFS,Calc_Time_sec,Max_Power_W,CPU_Temp_C,GPU_Temp_C,CPU_Leak_W,GPU_Leak_W,CPU_Active_Main_W,GPU_Active_Main_W,Bottleneck
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Air,F0,F0,0.32052353479853485,6061.929649122807,24.0,40.0,38.07,1960.0,0.0,63.859649122807014,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Air,F0,F1,0.2976297619047619,10758.46298245614,24.0,87.0,38.07,6585.6,0.0,134.79298245614038,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Air,F0,F2,0.24510875350140054,9448.652456140351,24.0,74.0,38.07,5196.8,0.0,213.78245614035092,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Air,F0,F3,0.21930895989974936,10011.403333333334,24.0,70.0,38.07,5600.0,0.0,373.3333333333333,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Air,F1,F0,0.3205211538461539,6071.251315789474,25.0,40.0,47.39166666666667,1960.0,0.0,63.859649122807014,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Air,F1,F1,0.29762738095238095,10767.784649122807,25.0,87.0,47.39166666666667,6585.6,0.0,134.79298245614038,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Air,F1,F2,0.2451063725490196,9457.974122807018,25.0,74.0,47.39166666666667,5196.8,0.0,213.78245614035092,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Air,F1,F3,0.2193065789473684,10020.725,25.0,70.0,47.39166666666667,5600.0,0.0,373.3333333333333,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Air,F2,F0,0.32051934225195094,6081.904649122807,27.0,40.0,58.044999999999995,1960.0,0.0,63.859649122807014,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Air,F2,F1,0.297625569358178,10778.43798245614,27.0,87.0,58.044999999999995,6585.6,0.0,134.79298245614038,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Air,F2,F2,0.2451045609548167,9468.627456140352,27.0,74.0,58.044999999999995,5196.8,0.0,213.78245614035092,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Air,F2,F3,0.2193047673531655,10031.378333333334,27.0,70.0,58.044999999999995,5600.0,0.0,373.3333333333333,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Air,F3,F0,0.32051882051282055,6093.184649122807,29.0,40.0,69.32499999999999,1960.0,0.0,63.859649122807014,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Air,F3,F1,0.2976250476190476,10789.717982456139,29.0,87.0,69.32499999999999,6585.6,0.0,134.79298245614038,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Air,F3,F2,0.24510403921568627,9479.90745614035,29.0,74.0,69.32499999999999,5196.8,0.0,213.78245614035092,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Air,F3,F3,0.21930424561403508,10042.658333333335,29.0,70.0,69.32499999999999,5600.0,0.0,373.3333333333333,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Air,F0,F0,1.1447041208791207,7319.964736842105,24.0,53.0,38.07,2324.0,0.0,957.8947368421053,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Air,F0,F1,1.0629406462585032,9979.964736842107,24.0,70.0,38.07,3920.0000000000005,0.0,2021.8947368421059,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Air,F0,F2,0.8753656162464986,11724.806842105263,24.0,70.0,38.07,4480.0,0.0,3206.7368421052643,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Air,F0,F3,0.7832234962406015,15238.07,24.0,70.0,38.07,5600.0,0.0,5600.000000000001,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Air,F1,F0,1.1447006817256817,7330.148070175439,26.0,53.0,48.25333333333334,2324.0,0.0,957.8947368421053,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Air,F1,F1,1.0629372071050642,9990.14807017544,26.0,70.0,48.25333333333334,3920.0000000000005,0.0,2021.8947368421059,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Air,F1,F2,0.8753621770930594,11734.990175438597,26.0,70.0,48.25333333333334,4480.0,0.0,3206.7368421052643,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Air,F1,F3,0.7832200570871624,15248.253333333334,26.0,70.0,48.25333333333334,5600.0,0.0,5600.000000000001,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Air,F2,F0,1.1446980649784997,7340.9580701754385,28.0,53.0,59.06333333333334,2324.0,0.0,957.8947368421053,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Air,F2,F1,1.0629345903578822,10000.958070175438,28.0,70.0,59.06333333333334,3920.0000000000005,0.0,2021.8947368421059,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Air,F2,F2,0.8753595603458775,11745.800175438599,28.0,70.0,59.06333333333334,4480.0,0.0,3206.7368421052643,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Air,F2,F3,0.7832174403399804,15259.063333333335,28.0,70.0,59.06333333333334,5600.0,0.0,5600.000000000001,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Air,F3,F0,1.1446973113553114,7353.569736842105,31.0,53.0,71.675,2324.0,0.0,957.8947368421053,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Air,F3,F1,1.0629338367346939,10013.569736842106,31.0,70.0,71.675,3920.0000000000005,0.0,2021.8947368421059,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Air,F3,F2,0.8753588067226891,11758.411842105263,31.0,70.0,71.675,4480.0,0.0,3206.7368421052643,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Air,F3,F3,0.783216686716792,15271.675,31.0,70.0,71.675,5600.0,0.0,5600.000000000001,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Air,F0,F0,6.496902925452925,7503.684035087719,24.0,55.0,38.07,2380.0,0.0,1085.6140350877192,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Air,F0,F1,6.0328399613899615,10249.550701754388,24.0,70.0,38.07,3920.0000000000005,0.0,2291.4807017543867,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Air,F0,F2,4.968224926186691,12152.371754385966,24.0,70.0,38.07,4480.0,0.0,3634.301754385966,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Air,F0,F3,4.445256136964032,15984.736666666668,24.0,70.0,38.07,5600.0,0.0,6346.666666666668,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Air,F1,F0,6.496898163548163,7513.8673684210535,26.0,55.0,48.25333333333334,2380.0,0.0,1085.6140350877192,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Air,F1,F1,6.032835199485199,10259.73403508772,26.0,70.0,48.25333333333334,3920.0000000000005,0.0,2291.4807017543867,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Air,F1,F2,4.968220164281929,12162.5550877193,26.0,70.0,48.25333333333334,4480.0,0.0,3634.301754385966,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Air,F1,F3,4.44525137505927,15994.920000000002,26.0,70.0,48.25333333333334,5600.0,0.0,6346.666666666668,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Air,F2,F0,6.496894540359758,7525.695701754386,29.0,55.0,60.081666666666656,2380.0,0.0,1085.6140350877192,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Air,F2,F1,6.032831576296794,10271.562368421053,29.0,70.0,60.081666666666656,3920.0000000000005,0.0,2291.4807017543867,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Air,F2,F2,4.968216541093524,12174.383421052633,29.0,70.0,60.081666666666656,4480.0,0.0,3634.301754385966,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Air,F2,F3,4.445247751870864,16006.748333333335,29.0,70.0,60.081666666666656,5600.0,0.0,6346.666666666668,GPU-Limited (Main Phase)
