Customer,CPU_Workload,GPU_Workload,CPU_Model,GPU_Model,CPU_Count,GPU_Count,Cooling,CPU_DVFS,GPU_DVFS,Calc_Time_sec,Max_Power_W,CPU_Temp_C,GPU_Temp_C,CPU_Leak_W,GPU_Leak_W,CPU_Active_Main_W,GPU_Active_Main_W,Bottleneck
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Water,F0,F0,0.04006945970695971,6340.242192982456,23.0,34.0,37.365,1792.0,0.0,510.8771929824561,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Water,F0,F1,0.03720773809523809,8055.708859649123,23.0,45.0,37.365,2940.0000000000005,0.0,1078.343859649123,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Water,F0,F2,0.030642612044817927,9510.824649122807,23.0,54.0,37.365,3763.2000000000003,0.0,1710.2596491228073,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Water,F0,F3,0.027417637844611528,12624.031666666666,23.0,70.0,37.365,5600.0,0.0,2986.6666666666665,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Water,F1,F0,0.040068269230769234,6349.407192982457,24.0,34.0,46.53,1792.0,0.0,510.8771929824561,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Water,F1,F1,0.03720654761904762,8064.873859649124,24.0,45.0,46.53,2940.0000000000005,0.0,1078.343859649123,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Water,F1,F2,0.03064142156862745,9519.989649122808,24.0,54.0,46.53,3763.2000000000003,0.0,1710.2596491228073,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Water,F1,F3,0.02741644736842105,12633.196666666667,24.0,70.0,46.53,5600.0,0.0,2986.6666666666665,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Water,F2,F0,0.040067363433667784,6359.903859649123,26.0,34.0,57.026666666666664,1792.0,0.0,510.8771929824561,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Water,F2,F1,0.03720564182194617,8075.37052631579,26.0,45.0,57.026666666666664,2940.0000000000005,0.0,1078.343859649123,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Water,F2,F2,0.030640515771526,9530.486315789474,26.0,54.0,57.026666666666664,3763.2000000000003,0.0,1710.2596491228073,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Water,F2,F3,0.0274155415713196,12643.693333333333,26.0,70.0,57.026666666666664,5600.0,0.0,2986.6666666666665,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Water,F3,F0,0.04006710256410257,6371.027192982456,28.0,34.0,68.15,1792.0,0.0,510.8771929824561,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Water,F3,F1,0.037205380952380955,8086.493859649124,28.0,45.0,68.15,2940.0000000000005,0.0,1078.343859649123,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Water,F3,F2,0.030640254901960783,9541.609649122807,28.0,54.0,68.15,3763.2000000000003,0.0,1710.2596491228073,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6716P-B,B200 Water,1,8,Water,F3,F3,0.027415280701754384,12654.816666666666,28.0,70.0,68.15,5600.0,0.0,2986.6666666666665,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Water,F0,F0,1.1447041208791207,6898.554736842105,22.0,38.0,36.660000000000004,1904.0,0.0,957.8947368421053,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Water,F0,F1,1.0629406462585032,9312.154736842105,22.0,53.0,36.660000000000004,3253.6000000000004,0.0,2021.8947368421059,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Water,F0,F2,0.8753656162464986,14590.596842105264,22.0,86.0,36.660000000000004,7347.200000000001,0.0,3206.7368421052643,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Water,F0,F3,0.7832234962406015,15236.66,22.0,70.0,36.660000000000004,5600.0,0.0,5600.000000000001,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Water,F1,F0,1.1447006817256817,6908.424736842106,24.0,38.0,46.53,1904.0,0.0,957.8947368421053,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Water,F1,F1,1.0629372071050642,9322.024736842108,24.0,53.0,46.53,3253.6000000000004,0.0,2021.8947368421059,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Water,F1,F2,0.8753621770930594,14600.466842105267,24.0,86.0,46.53,7347.200000000001,0.0,3206.7368421052643,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Water,F1,F3,0.7832200570871624,15246.530000000002,24.0,70.0,46.53,5600.0,0.0,5600.000000000001,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Water,F2,F0,1.1446980649784997,6917.903070175438,25.0,38.0,56.00833333333333,1904.0,0.0,957.8947368421053,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Water,F2,F1,1.0629345903578822,9331.50307017544,25.0,53.0,56.00833333333333,3253.6000000000004,0.0,2021.8947368421059,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Water,F2,F2,0.8753595603458775,14609.9451754386,25.0,86.0,56.00833333333333,7347.200000000001,0.0,3206.7368421052643,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Water,F2,F3,0.7832174403399804,15256.008333333335,25.0,70.0,56.00833333333333,5600.0,0.0,5600.000000000001,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Water,F3,F0,1.1446973113553114,6927.694736842105,26.0,38.0,65.8,1904.0,0.0,957.8947368421053,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Water,F3,F1,1.0629338367346939,9341.294736842106,26.0,53.0,65.8,3253.6000000000004,0.0,2021.8947368421059,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Water,F3,F2,0.8753588067226891,14619.736842105263,26.0,86.0,65.8,7347.200000000001,0.0,3206.7368421052643,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6716P-B,B200 Water,1,8,Water,F3,F3,0.783216686716792,15265.8,26.0,70.0,65.8,5600.0,0.0,5600.000000000001,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Water,F0,F0,6.496902925452925,7054.979035087719,23.0,39.0,37.365,1932.0,0.0,1085.6140350877192,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Water,F0,F1,6.0328399613899615,9660.845701754386,23.0,55.0,37.365,3332.0000000000005,0.0,2291.4807017543867,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Water,F0,F2,4.968224926186691,12151.666754385966,23.0,70.0,37.365,4480.0,0.0,3634.301754385966,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Water,F0,F3,4.445256136964032,15984.031666666668,23.0,70.0,37.365,5600.0,0.0,6346.666666666668,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Water,F1,F0,6.496898163548163,7064.14403508772,24.0,39.0,46.53,1932.0,0.0,1085.6140350877192,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Water,F1,F1,6.032835199485199,9670.010701754387,24.0,55.0,46.53,3332.0000000000005,0.0,2291.4807017543867,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Water,F1,F2,4.968220164281929,12160.831754385967,24.0,70.0,46.53,4480.0,0.0,3634.301754385966,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Water,F1,F3,4.44525137505927,15993.196666666669,24.0,70.0,46.53,5600.0,0.0,6346.666666666668,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Water,F2,F0,6.496894540359758,7074.640701754386,26.0,39.0,57.026666666666664,1932.0,0.0,1085.6140350877192,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Water,F2,F1,6.032831576296794,9680.507368421053,26.0,55.0,57.026666666666664,3332.0000000000005,0.0,2291.4807017543867,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Water,F2,F2,4.968216541093524,12171.328421052633,26.0,70.0,57.026666666666664,4480.0,0.0,3634.301754385966,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Water,F2,F3,4.445247751870864,16003.693333333335,26.0,70.0,57.026666666666664,5600.0,0.0,6346.666666666668,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Water,F3,F0,6.496893496881497,7085.764035087719,28.0,39.0,68.15,1932.0,0.0,1085.6140350877192,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Water,F3,F1,6.032830532818533,9691.630701754388,28.0,55.0,68.15,3332.0000000000005,0.0,2291.4807017543867,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Water,F3,F2,4.968215497615263,12182.451754385966,28.0,70.0,68.15,4480.0,0.0,3634.301754385966,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6716P-B,B200 Water,1,8,Water,F3,F3,4.445246708392603,16014.816666666668,28.0,70.0,68.15,5600.0,0.0,6346.666666666668,GPU-Limited (Main Phase)
