Customer,Model_Type,CPU_Model,GPU_Model,CPU_Count,GPU_Count,Cooling,CPU_DVFS,GPU_DVFS,Calc_Time_sec,Max_Power_W,CPU_Temp_C,GPU_Temp_C,CPU_Leak_W,GPU_Leak_W,CPU_Active_Main_W,GPU_Active_Main_W,Bottleneck
Customer A,CNN,6716P-B,B200 Water,1,8,Water,F0,F0,0.320523535,5810.914705,21.82685852,31.08989716,36.53793526,1710.51712,0,63.85964912,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Water,F0,F1,0.297629762,6811.099747,21.82685852,37.34104156,36.53793526,2639.768829,0,134.7929825,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Water,F0,F2,0.245108754,7444.570269,21.82685852,41.30022049,36.53793526,3194.249878,0,213.7824561,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Water,F0,F3,0.21930896,17103.95127,21.82685852,101.67,36.53793526,12694.08,0,373.3333333,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Water,F1,F0,0.320521154,5819.399842,22.25114822,31.08989716,45.02307272,1710.51712,0,63.85964912,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Water,F1,F1,0.297627381,6819.584885,22.25114822,37.34104156,45.02307272,2639.768829,0,134.7929825,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Water,F1,F2,0.245106373,7453.055407,22.25114822,41.30022049,45.02307272,3194.249878,0,213.7824561,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Water,F1,F3,0.219306579,17112.43641,22.25114822,101.67,45.02307272,12694.08,0,373.3333333,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Water,F2,F0,0.320519342,5828.025013,22.68239975,31.08989716,53.64824375,1710.51712,0,63.85964912,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Water,F2,F1,0.297625569,6828.210056,22.68239975,37.34104156,53.64824375,2639.768829,0,134.7929825,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Water,F2,F2,0.245104561,7461.680578,22.68239975,41.30022049,53.64824375,3194.249878,0,213.7824561,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Water,F2,F3,0.219304767,17121.06158,22.68239975,101.67,53.64824375,12694.08,0,373.3333333,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Water,F3,F0,0.320518821,5836.793714,23.12080383,31.08989716,62.4169445,1710.51712,0,63.85964912,GPU-Limited (Main Phase)
