Customer,CPU_Workload,GPU_Workload,CPU_Model,GPU_Model,CPU_Count,GPU_Count,Cooling,CPU_DVFS,GPU_DVFS,Calc_Time_sec,Max_Power_W,CPU_Temp_C,GPU_Temp_C,CPU_Leak_W,GPU_Leak_W,CPU_Active_Main_W,GPU_Active_Main_W,Bottleneck
Customer A,Compute A,Compute AG,6774P,B200 Water,2,8,Air,F0,F0,0.32052353479853485,6139.359649122807,25.0,40.0,115.50000000000001,1960.0,0.0,63.859649122807014,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6774P,B200 Water,2,8,Air,F0,F1,0.2976297619047619,10835.89298245614,25.0,87.0,115.50000000000001,6585.6,0.0,134.79298245614038,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6774P,B200 Water,2,8,Air,F0,F2,0.24510875350140054,9526.08245614035,25.0,74.0,115.50000000000001,5196.8,0.0,213.78245614035092,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6774P,B200 Water,2,8,Air,F0,F3,0.21930895989974936,10088.833333333334,25.0,70.0,115.50000000000001,5600.0,0.0,373.3333333333333,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6774P,B200 Water,2,8,Air,F1,F0,0.3205211538461539,6167.592982456141,26.0,40.0,143.73333333333335,1960.0,0.0,63.859649122807014,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6774P,B200 Water,2,8,Air,F1,F1,0.29762738095238095,10864.126315789474,26.0,87.0,143.73333333333335,6585.6,0.0,134.79298245614038,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6774P,B200 Water,2,8,Air,F1,F2,0.2451063725490196,9554.315789473683,26.0,74.0,143.73333333333335,5196.8,0.0,213.78245614035092,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6774P,B200 Water,2,8,Air,F1,F3,0.2193065789473684,10117.066666666668,26.0,70.0,143.73333333333335,5600.0,0.0,373.3333333333333,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6774P,B200 Water,2,8,Air,F2,F0,0.32051934225195094,6199.792982456141,28.0,40.0,175.93333333333334,1960.0,0.0,63.859649122807014,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6774P,B200 Water,2,8,Air,F2,F1,0.297625569358178,10896.326315789473,28.0,87.0,175.93333333333334,6585.6,0.0,134.79298245614038,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6774P,B200 Water,2,8,Air,F2,F2,0.2451045609548167,9586.515789473684,28.0,74.0,175.93333333333334,5196.8,0.0,213.78245614035092,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6774P,B200 Water,2,8,Air,F2,F3,0.2193047673531655,10149.266666666668,28.0,70.0,175.93333333333334,5600.0,0.0,373.3333333333333,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6774P,B200 Water,2,8,Air,F3,F0,0.32051882051282055,6233.859649122807,30.0,40.0,210.0,1960.0,0.0,63.859649122807014,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6774P,B200 Water,2,8,Air,F3,F1,0.2976250476190476,10930.39298245614,30.0,87.0,210.0,6585.6,0.0,134.79298245614038,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6774P,B200 Water,2,8,Air,F3,F2,0.24510403921568627,9620.58245614035,30.0,74.0,210.0,5196.8,0.0,213.78245614035092,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6774P,B200 Water,2,8,Air,F3,F3,0.21930424561403508,10183.333333333334,30.0,70.0,210.0,5600.0,0.0,373.3333333333333,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6774P,B200 Water,2,8,Air,F0,F0,1.1447041208791207,7397.394736842105,25.0,53.0,115.50000000000001,2324.0,0.0,957.8947368421053,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6774P,B200 Water,2,8,Air,F0,F1,1.0629406462585032,10057.394736842107,25.0,70.0,115.50000000000001,3920.0000000000005,0.0,2021.8947368421059,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6774P,B200 Water,2,8,Air,F0,F2,0.8753656162464986,11802.236842105263,25.0,70.0,115.50000000000001,4480.0,0.0,3206.7368421052643,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6774P,B200 Water,2,8,Air,F0,F3,0.7832234962406015,15315.5,25.0,70.0,115.50000000000001,5600.0,0.0,5600.000000000001,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6774P,B200 Water,2,8,Air,F1,F0,1.1447006817256817,7428.194736842105,27.0,53.0,146.3,2324.0,0.0,957.8947368421053,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6774P,B200 Water,2,8,Air,F1,F1,1.0629372071050642,10088.194736842106,27.0,70.0,146.3,3920.0000000000005,0.0,2021.8947368421059,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6774P,B200 Water,2,8,Air,F1,F2,0.8753621770930594,11833.036842105263,27.0,70.0,146.3,4480.0,0.0,3206.7368421052643,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6774P,B200 Water,2,8,Air,F1,F3,0.7832200570871624,15346.3,27.0,70.0,146.3,5600.0,0.0,5600.000000000001,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6774P,B200 Water,2,8,Air,F2,F0,1.1446980649784997,7460.861403508771,29.0,53.0,178.96666666666667,2324.0,0.0,957.8947368421053,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6774P,B200 Water,2,8,Air,F2,F1,1.0629345903578822,10120.861403508774,29.0,70.0,178.96666666666667,3920.0000000000005,0.0,2021.8947368421059,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6774P,B200 Water,2,8,Air,F2,F2,0.8753595603458775,11865.70350877193,29.0,70.0,178.96666666666667,4480.0,0.0,3206.7368421052643,GPU-Limited (Main Phase)
