Customer,CPU_Workload,GPU_Workload,CPU_Model,GPU_Model,CPU_Count,GPU_Count,Cooling,CPU_DVFS,GPU_DVFS,Calc_Time_sec,Max_Power_W,CPU_Temp_C,GPU_Temp_C,CPU_Leak_W,GPU_Leak_W,CPU_Active_Main_W,GPU_Active_Main_W,Bottleneck
Customer A,Compute A,Compute AG,6978P,B200 Water,8,8,Water,F0,F0,0.04006566506410257,6950.877192982456,24.0,34.0,648.0000000000001,1792.0,0.0,510.8771929824561,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,8,8,Water,F0,F1,0.037203943452380955,8666.343859649123,24.0,45.0,648.0000000000001,2940.0000000000005,0.0,1078.343859649123,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,8,8,Water,F0,F2,0.030638817401960783,10121.459649122808,24.0,54.0,648.0000000000001,3763.2000000000003,0.0,1710.2596491228073,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,8,8,Water,F0,F3,0.027413843201754384,13234.666666666666,24.0,70.0,648.0000000000001,5600.0,0.0,2986.6666666666665,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,8,8,Water,F1,F0,0.04006535256410257,7124.210526315789,26.0,34.0,821.3333333333334,1792.0,0.0,510.8771929824561,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,8,8,Water,F1,F1,0.03720363095238095,8839.677192982457,26.0,45.0,821.3333333333334,2940.0000000000005,0.0,1078.343859649123,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,8,8,Water,F1,F2,0.03063850490196078,10294.79298245614,26.0,54.0,821.3333333333334,3763.2000000000003,0.0,1710.2596491228073,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,8,8,Water,F1,F3,0.027413530701754382,13407.999999999998,26.0,70.0,821.3333333333334,5600.0,0.0,2986.6666666666665,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,8,8,Water,F2,F0,0.04006508940620783,7290.877192982456,27.0,34.0,988.0,1792.0,0.0,510.8771929824561,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,8,8,Water,F2,F1,0.037203367794486214,9006.343859649123,27.0,45.0,988.0,2940.0000000000005,0.0,1078.343859649123,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,8,8,Water,F2,F2,0.030638241744066045,10461.459649122808,27.0,54.0,988.0,3763.2000000000003,0.0,1710.2596491228073,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,8,8,Water,F2,F3,0.027413267543859646,13574.666666666666,27.0,70.0,988.0,5600.0,0.0,2986.6666666666665,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,8,8,Water,F3,F0,0.040064995421245427,7482.877192982456,29.0,34.0,1180.0,1792.0,0.0,510.8771929824561,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,8,8,Water,F3,F1,0.03720327380952381,9198.343859649123,29.0,45.0,1180.0,2940.0000000000005,0.0,1078.343859649123,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,8,8,Water,F3,F2,0.03063814775910364,10653.459649122808,29.0,54.0,1180.0,3763.2000000000003,0.0,1710.2596491228073,GPU-Limited (Main Phase)
Customer A,Compute A,Compute AG,6978P,B200 Water,8,8,Water,F3,F3,0.02741317355889724,13766.666666666666,29.0,70.0,1180.0,5600.0,0.0,2986.6666666666665,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,8,8,Water,F0,F0,1.1447067002442002,7509.894736842105,24.0,38.0,648.0000000000001,1904.0,0.0,957.8947368421053,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,8,8,Water,F0,F1,1.0629432256235827,9923.494736842105,24.0,53.0,648.0000000000001,3253.6000000000004,0.0,2021.8947368421059,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,8,8,Water,F0,F2,0.875368195611578,15201.936842105264,24.0,86.0,648.0000000000001,7347.200000000001,0.0,3206.7368421052643,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,8,8,Water,F0,F3,0.7832260756056809,15848.0,24.0,70.0,648.0000000000001,5600.0,0.0,5600.000000000001,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,8,8,Water,F1,F0,1.1447030891330892,7668.561403508772,25.0,38.0,806.6666666666667,1904.0,0.0,957.8947368421053,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,8,8,Water,F1,F1,1.0629396145124717,10082.161403508773,25.0,53.0,806.6666666666667,3253.6000000000004,0.0,2021.8947368421059,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,8,8,Water,F1,F2,0.8753645845004668,15360.603508771932,25.0,86.0,806.6666666666667,7347.200000000001,0.0,3206.7368421052643,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,8,8,Water,F1,F3,0.7832224644945698,16006.666666666668,25.0,70.0,806.6666666666667,5600.0,0.0,5600.000000000001,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,8,8,Water,F2,F0,1.1447000481974166,7832.561403508772,26.0,38.0,970.6666666666667,1904.0,0.0,957.8947368421053,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,8,8,Water,F2,F1,1.062936573576799,10246.161403508773,26.0,53.0,970.6666666666667,3253.6000000000004,0.0,2021.8947368421059,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,8,8,Water,F2,F2,0.8753615435647943,15524.603508771932,26.0,86.0,970.6666666666667,7347.200000000001,0.0,3206.7368421052643,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,8,8,Water,F2,F3,0.7832194235588973,16170.666666666668,26.0,70.0,970.6666666666667,5600.0,0.0,5600.000000000001,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,8,8,Water,F3,F0,1.144698962148962,8001.894736842105,27.0,38.0,1140.0,1904.0,0.0,957.8947368421053,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,8,8,Water,F3,F1,1.0629354875283445,10415.494736842105,27.0,53.0,1140.0,3253.6000000000004,0.0,2021.8947368421059,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,8,8,Water,F3,F2,0.8753604575163398,15693.936842105264,27.0,86.0,1140.0,7347.200000000001,0.0,3206.7368421052643,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,8,8,Water,F3,F3,0.7832183375104428,16340.0,27.0,70.0,1140.0,5600.0,0.0,5600.000000000001,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6978P,B200 Water,8,8,Water,F0,F0,6.496906496881497,7665.6140350877195,24.0,39.0,648.0000000000001,1932.0,0.0,1085.6140350877192,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6978P,B200 Water,8,8,Water,F0,F1,6.032843532818533,10271.480701754386,24.0,55.0,648.0000000000001,3332.0000000000005,0.0,2291.4807017543867,GPU-Limited (Main Phase)
